deg_C,relative_humidity,absolute_humidity,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,target
10.0,67.5,0.893,1048.0,973.0,760.2,1259.1,1041.8,9.3
11.5,83.2,1.0938,1337.6,1077.1,543.2,1489.0,1463.9,12.2
10.2,53.3,0.6172,991.0,802.9,1086.0,1334.2,785.8,5.9
20.6,50.0,1.178,911.0,847.4,966.1,1713.0,822.7,7.9
25.5,24.1,0.794,1461.7,1434.5,654.4,1895.3,1533.1,28.0
23.3,35.6,0.9621,912.1,715.2,923.5,1236.2,539.6,5.3
32.3,30.0,1.6402,1030.3,861.0,851.6,1596.4,611.1,6.0
33.5,23.6,1.189,1014.6,1103.6,708.7,1772.1,1221.0,12.7
17.8,53.7,1.0741,1264.2,1076.7,548.2,1451.5,1369.0,13.9
9.2,62.3,0.7544,1429.7,1662.1,422.4,1879.9,2159.9,30.1
29.0,24.3,1.0487,948.7,831.0,898.7,1443.5,588.6,6.0
21.2,37.1,0.9059,1457.4,1527.8,603.2,2052.3,1584.0,26.5
20.8,69.3,1.6873,918.0,720.0,1067.1,1481.0,823.0,3.7
16.2,52.1,1.0544,909.9,701.0,1136.0,1375.7,597.8,3.5
23.2,50.6,1.365,948.7,736.6,965.2,1621.2,711.0,5.7
20.6,27.5,0.6323,1129.0,1123.0,824.2,1609.0,1121.4,14.5
15.2,49.9,0.8757,1130.8,938.4,942.9,1513.7,1173.9,7.9
30.5,37.5,1.5855,1257.7,1231.4,640.5,1863.8,1204.4,15.9
23.9,40.9,1.1284,836.4,663.0,932.9,1303.0,716.1,3.3
22.8,58.3,1.6298,1259.5,980.2,679.3,1569.0,1134.2,9.5
14.9,48.1,0.8653,975.6,856.5,996.0,1472.6,685.8,6.1
6.9,66.0,0.6261,835.7,574.0,1646.4,1258.2,491.5,2.0
22.3,48.2,1.3404,834.3,478.8,1162.5,1192.0,381.2,1.0
15.2,33.6,0.656,1222.6,1088.8,920.5,1593.6,1071.6,12.8
34.9,24.8,1.5868,948.5,893.4,770.2,1733.1,657.4,8.8
22.9,31.3,0.2247,1104.6,397.3,1911.2,608.0,721.6,0.1
9.5,69.6,0.9176,941.5,720.0,1119.4,1416.7,709.6,5.0
29.7,23.2,1.0043,1247.4,1028.4,733.3,1677.1,943.3,12.4
11.9,30.7,0.4472,1161.1,991.8,731.3,1147.1,1605.4,10.8
15.4,56.5,1.0432,1789.2,1546.3,532.4,1770.7,1993.1,27.4
19.3,50.2,1.1911,942.4,833.2,834.2,1551.9,880.8,7.7
20.6,80.7,1.85,1284.5,1256.4,518.9,1847.0,1242.4,18.6
24.2,42.8,1.4331,1465.5,1490.8,486.2,2082.7,1709.8,26.4
38.5,18.2,1.3849,1137.4,1039.7,638.3,1637.5,1464.7,14.0
16.8,42.4,0.8593,884.9,675.7,1120.4,1401.8,636.5,3.0
20.5,64.1,1.6313,1419.1,1528.5,438.6,1870.2,1510.5,27.2
30.7,47.9,1.8141,958.8,876.7,766.1,1699.4,683.1,7.7
7.9,83.9,0.8495,890.5,816.9,907.2,1067.8,824.6,4.9
10.1,63.7,0.8133,1607.2,1390.0,735.6,2103.4,1538.2,25.2
23.8,44.9,1.3067,876.1,820.0,776.2,1418.1,893.4,6.0
9.7,62.7,0.7124,1393.9,1199.1,788.5,1688.2,1439.2,14.9
13.4,55.4,0.9003,950.7,711.6,1041.0,1488.9,869.8,5.2
20.9,50.3,1.176,932.3,752.4,893.8,1499.4,798.9,5.5
30.2,39.5,1.4866,1321.6,1286.4,493.0,2205.2,1733.6,21.2
25.8,44.8,1.5115,1206.1,1136.7,628.9,1806.1,1120.6,13.3
15.4,53.9,1.0342,1566.0,1618.0,480.2,2460.0,1784.0,37.0
12.8,57.3,0.856,908.2,680.8,1197.0,1269.9,492.1,3.1
32.0,26.3,1.423,1112.0,942.8,851.8,1662.6,752.0,9.2
30.4,32.1,1.3202,1133.2,978.1,771.7,1683.8,1295.9,10.3
7.3,79.9,0.759,1130.0,907.0,735.3,1103.6,1144.4,8.3
20.8,66.5,1.535,1050.4,851.4,798.7,1392.0,1127.2,6.7
31.4,35.5,1.6798,1213.2,1055.4,636.0,1996.0,1345.2,12.7
36.2,25.6,1.6477,1220.1,1139.3,714.0,1949.8,1075.3,14.8
33.5,19.5,1.1995,967.7,831.4,918.3,1573.0,702.0,7.5
9.2,77.3,0.9487,809.6,454.0,1682.2,1187.6,499.6,0.8
31.1,29.3,1.2744,1173.6,1247.4,628.7,1681.0,1136.2,15.2
30.4,31.8,1.462,1370.2,1259.3,551.5,1732.4,1508.8,17.0
28.3,47.0,1.8237,1138.5,1030.2,638.6,1743.2,1052.4,11.6
26.6,21.4,0.8219,1138.0,944.0,871.1,1507.8,1115.0,10.4
14.3,59.1,0.9726,1030.6,587.8,922.1,1147.4,643.4,2.7
24.0,48.2,1.2418,1258.7,1331.2,742.6,2065.8,2091.9,20.2
39.2,21.9,1.6535,1114.5,926.4,714.4,1566.6,894.6,10.2
22.8,49.8,1.4811,768.6,640.6,1172.1,1475.1,641.1,2.8
1.7,61.1,0.4376,860.0,676.2,987.9,879.8,860.0,3.7
41.6,16.9,1.1439,1102.0,1047.3,753.7,1442.0,932.8,10.7
29.4,35.8,1.4008,1114.0,1141.6,671.0,1619.8,1139.0,13.4
11.0,45.6,0.6194,1007.0,950.0,697.9,1197.0,1210.0,10.1
25.2,45.8,1.4599,836.0,717.6,1031.4,1440.0,526.3,3.6
15.1,63.0,1.0316,937.5,558.4,1300.0,1292.7,585.8,2.0
15.3,65.7,1.0898,1457.9,1459.6,558.4,1647.3,1997.2,22.3
26.9,32.4,1.1119,943.5,846.4,968.0,1377.0,684.3,6.3
18.6,68.0,1.4552,1010.4,805.8,841.5,1362.2,942.9,5.6
21.0,59.5,1.6155,1365.2,1360.8,534.3,1761.3,1621.8,19.4
13.6,32.8,0.5541,1172.2,1252.6,582.2,1406.6,1419.8,16.1
36.6,30.5,1.611,1562.7,1598.6,462.6,2252.4,2006.4,31.8
16.0,45.3,0.8394,798.1,596.6,1285.0,1225.0,461.0,2.3
19.7,48.2,1.1508,1072.5,1017.5,688.5,1530.0,1117.0,11.2
10.0,83.5,1.0296,1496.6,1332.4,508.8,1476.7,1584.7,18.0
21.6,47.6,1.2783,920.0,683.6,934.5,1353.6,827.9,4.2
16.7,81.7,1.4243,972.8,863.3,769.0,1508.6,900.2,7.4
28.9,34.9,1.3116,978.4,851.6,812.0,1405.3,567.8,6.4
27.9,42.4,1.4977,1433.7,1402.8,467.0,1786.0,1601.5,23.8
25.0,37.2,1.1357,1077.4,956.4,768.2,1694.7,894.0,10.1
19.6,39.7,0.937,1097.0,875.2,933.9,1501.0,921.7,7.9
22.2,55.6,1.5522,841.6,727.7,884.1,1380.5,834.4,5.3
8.0,40.7,0.4085,952.8,691.9,908.5,917.0,1206.3,4.6
28.4,26.3,1.0798,979.0,843.4,982.8,1284.5,728.0,6.0
11.1,74.2,0.9215,856.3,527.2,1582.9,1220.8,433.2,1.1
11.3,71.8,0.9232,1408.1,1325.0,704.5,1969.3,1275.8,21.4
17.1,76.4,1.5447,1015.4,736.3,849.7,1416.0,874.7,5.2
36.8,25.0,1.4628,1034.9,956.0,719.7,1514.0,785.9,9.0
39.7,18.0,1.3646,889.8,695.6,948.6,1318.1,433.0,4.9
19.2,41.0,0.832,1086.8,1165.5,852.6,1619.0,1044.0,13.2
37.6,20.3,1.2664,942.0,751.7,889.0,1313.2,573.7,5.3
6.2,52.5,0.5201,1293.4,1184.8,554.5,1270.2,1939.0,17.2
16.1,46.7,0.792,871.2,609.0,1242.6,1194.7,432.2,2.3
21.0,34.1,0.8545,788.6,586.8,1327.0,1130.2,688.7,2.8
24.1,51.0,1.458,930.2,843.4,893.4,1451.4,780.7,6.0
21.4,32.2,0.7873,1231.6,1229.5,639.3,1746.2,1406.0,19.4
21.2,58.2,1.3467,1414.1,1477.6,489.7,1948.0,1572.9,24.5
18.5,46.8,0.9744,1510.1,1041.7,830.3,1685.3,1203.3,11.7
12.7,53.8,0.8576,955.5,604.0,1230.0,1305.9,536.0,2.2
13.0,68.4,1.0079,720.1,511.8,1706.2,1268.1,354.5,1.3
13.7,58.8,0.9498,794.4,565.0,1204.4,1289.7,659.3,1.7
23.1,35.9,0.2268,1058.8,369.9,1899.8,627.5,841.6,0.1
18.6,50.1,1.0551,1363.4,1227.8,661.0,1991.0,1474.4,19.4
14.6,48.3,0.7435,991.8,936.0,915.3,1559.3,909.8,7.7
29.5,37.2,1.416,1025.5,1079.5,729.1,1803.9,1022.7,12.2
15.8,55.7,0.919,820.6,625.2,1331.1,1309.0,625.0,2.7
18.7,50.1,1.07,1202.3,913.5,847.2,1711.8,990.0,6.8
18.6,37.5,0.7812,1078.4,871.7,949.5,1530.9,971.2,8.2
12.8,75.3,1.1915,1268.2,1025.9,762.2,1779.8,1071.8,10.4
20.4,48.6,1.113,1045.4,1088.9,657.5,1435.6,1402.8,11.8
12.9,29.8,0.4583,740.2,508.0,1523.9,811.8,312.6,1.1
18.0,30.3,0.6111,941.9,928.7,999.9,1407.9,744.0,8.2
27.4,30.7,1.1147,1128.0,1114.7,732.2,1726.1,1250.2,15.0
24.5,44.9,1.4663,1106.4,1090.0,648.7,1550.4,1245.3,14.0
32.7,17.9,0.8398,1036.3,1186.0,668.7,1761.7,1206.3,16.4
22.3,48.0,1.2226,1028.2,1033.1,697.5,1911.5,1001.6,13.4
22.9,50.0,1.5241,1555.9,1708.7,462.2,2236.4,1870.0,35.4
22.6,32.0,0.2255,1140.1,377.7,1808.4,571.7,706.5,0.1
37.2,15.5,1.1867,1222.6,1353.4,664.0,2108.4,1229.0,22.9
18.3,49.7,1.0922,1296.9,1130.6,585.5,1593.4,1223.0,15.1
12.4,65.6,1.0442,997.0,737.9,880.7,1209.0,776.4,5.7
15.3,57.3,0.9688,1276.2,1241.2,699.8,2103.0,1161.8,17.0
25.4,42.4,1.2876,889.4,665.7,1052.5,1232.8,530.2,2.6
14.5,14.7,0.2397,817.9,946.6,1005.7,839.3,829.4,8.8
23.5,38.7,1.1759,1060.0,925.9,888.3,1674.2,896.6,10.3
24.6,57.3,1.7476,885.2,576.6,1266.8,1442.0,460.4,1.5
22.1,55.0,1.5553,1287.5,1033.1,672.9,1719.9,1241.3,10.4
13.4,31.6,0.5032,813.2,771.7,993.2,1022.1,689.3,6.4
31.3,29.7,1.3331,1042.0,995.3,852.8,1656.8,877.2,8.5
26.6,60.5,2.117,1095.5,840.0,681.2,1679.6,1085.8,7.2
20.4,58.1,1.4496,826.6,775.8,856.3,1375.6,794.1,4.5
23.0,49.9,1.3424,858.0,660.3,1100.6,1445.5,692.0,3.3
27.2,32.8,1.322,827.8,607.0,1206.1,1235.2,397.7,2.3
11.6,44.0,0.6113,1166.5,1203.1,590.9,1356.8,1415.0,14.0
15.7,54.6,0.9829,1540.2,1471.0,428.6,1863.0,1817.9,26.5
10.2,78.4,1.0406,1604.7,1150.5,489.7,1464.9,1449.2,14.9
22.5,43.2,1.1573,1078.0,1028.0,900.0,1795.5,994.0,10.6
31.5,29.8,1.3987,1371.0,1409.3,520.4,1927.0,1514.1,25.5
12.4,21.2,0.3309,769.9,713.3,1072.0,817.7,781.0,4.7
26.5,24.3,0.936,1203.8,1315.5,925.4,1404.5,1416.7,17.7
29.6,20.2,0.8548,842.9,852.2,965.0,1450.4,668.5,8.3
25.8,24.0,0.858,1009.8,930.0,1055.4,1400.6,716.8,8.2
17.1,65.2,1.3249,1043.3,808.3,778.7,1402.9,894.0,6.6
13.1,48.3,0.7285,747.7,515.1,1821.1,1182.4,312.6,1.1
12.7,76.2,1.1641,1175.0,941.9,681.4,1379.3,1048.4,10.4
15.2,59.0,1.0654,1467.8,1182.2,786.9,1818.9,1508.9,14.5
33.5,28.0,1.6304,1277.2,1210.2,571.0,1876.0,1299.9,15.4
16.0,56.5,1.0008,890.0,861.8,880.0,1350.4,818.3,6.4
10.9,77.7,1.0899,1008.9,915.1,695.0,1344.2,1054.2,7.6
4.5,81.4,0.7055,1198.0,1162.7,581.4,1354.0,1270.9,13.0
31.4,29.0,1.2224,1310.0,1492.5,565.2,2262.0,1443.5,24.7
31.7,29.6,1.3055,1311.7,1165.4,589.0,1842.4,1706.2,17.4
25.5,25.9,0.8218,1036.4,1028.0,978.4,1590.8,1010.1,9.8
24.2,41.8,1.1417,942.8,949.4,933.4,1354.5,906.3,9.1
41.2,17.8,1.2064,1271.0,1241.2,631.7,1834.4,1183.2,15.8
25.9,34.6,1.085,1412.2,956.2,841.0,1644.4,791.3,10.7
14.2,44.9,0.8091,1523.7,1247.0,807.7,1767.0,1942.6,17.4
15.6,62.8,1.2691,1263.9,1339.5,624.2,2158.3,1161.8,18.7
17.3,36.6,0.7763,1069.1,1009.0,885.6,1426.9,610.1,8.8
4.4,67.8,0.6024,705.6,513.0,1270.1,928.6,613.0,1.4
26.5,27.0,0.9382,1319.7,1300.0,656.6,1942.2,1187.2,19.9
35.7,26.6,1.715,1144.4,1013.8,688.7,1823.6,982.8,12.1
12.4,82.2,1.1293,1205.7,1041.5,553.3,1539.0,1128.9,13.0
9.7,74.2,0.8296,946.2,901.9,783.8,1311.2,921.8,7.8
26.6,37.9,1.4041,989.4,900.6,872.4,1668.7,699.4,6.7
17.4,46.0,0.9226,1177.0,905.3,935.0,1544.4,1348.4,8.9
11.3,82.8,1.0565,1164.4,970.0,716.6,1320.2,1025.6,11.8
27.8,21.4,0.7697,989.9,1008.4,870.7,1463.0,923.0,10.9
13.5,39.7,0.5776,873.0,1036.7,803.6,1203.6,829.2,10.1
18.6,27.4,0.5387,990.9,737.2,1187.6,1259.5,524.3,4.9
24.3,32.2,0.2255,1173.3,401.2,1950.3,613.9,754.8,0.1
22.3,32.0,0.8442,925.4,839.5,1209.6,1369.1,565.4,5.4
10.8,55.8,0.7278,1248.5,939.4,929.6,1363.9,1247.4,8.5
22.3,52.1,1.3022,808.8,553.8,1027.4,1339.5,578.1,1.9
12.3,48.8,0.7387,1071.0,818.7,946.4,1497.3,883.7,7.3
24.9,35.5,0.2281,1077.3,407.1,1742.2,589.0,745.4,0.1
18.6,70.8,1.5038,1135.0,928.6,724.9,1501.8,1285.7,9.4
27.6,49.2,1.8652,990.0,805.6,790.0,1519.6,709.7,6.5
21.9,62.1,1.6256,986.5,876.2,689.7,1512.5,937.0,7.8
16.6,38.4,0.7052,988.0,741.0,1144.8,1316.1,705.6,5.6
35.6,16.4,1.0411,975.2,928.2,927.2,1509.2,692.8,8.6
15.7,45.3,0.7294,1050.6,900.6,933.1,1514.7,791.0,7.3
30.3,34.1,1.6872,1426.8,1208.6,639.0,1868.9,1516.3,19.3
16.6,35.2,0.7568,1093.2,1089.4,851.6,1551.4,947.7,12.2
17.1,35.6,0.7185,1054.7,923.5,816.0,1461.0,1012.9,10.2
17.8,81.4,1.704,830.5,689.1,992.6,1580.8,698.4,4.8
26.3,45.1,1.5249,1184.0,1012.5,640.3,1613.9,1066.9,9.8
9.9,22.4,0.2955,894.9,917.0,908.0,892.0,971.8,8.4
4.6,48.9,0.4138,1191.8,1140.6,637.0,1041.6,1326.2,13.3
16.2,69.1,1.2619,797.9,649.0,1132.7,1448.3,510.4,2.4
19.2,55.7,1.3392,1512.2,1461.2,527.2,2403.1,1803.9,26.6
28.4,22.8,0.8256,1333.2,1437.2,713.3,1926.4,1301.9,24.8
38.7,20.7,1.3514,1159.2,1200.2,694.7,1821.6,833.3,13.8
8.2,77.6,0.9074,874.1,663.5,2061.0,1104.7,738.5,2.6
24.4,35.7,1.1929,1102.6,988.0,849.7,1391.0,1160.8,9.4
23.9,43.0,1.3376,1191.2,1124.1,609.2,1598.7,1310.8,13.1
8.1,76.6,0.9294,890.2,673.6,2103.3,1111.0,751.5,3.1
22.7,54.8,1.6712,1336.2,1182.1,500.3,1709.8,1427.5,17.3
20.7,62.9,1.4193,1402.0,1462.6,484.8,2085.0,1511.2,23.1
29.9,18.7,0.8302,1101.5,1276.1,749.7,1844.4,1199.9,19.5
29.7,23.2,0.906,1121.0,969.0,910.9,1474.0,897.7,11.1
26.7,38.4,1.3147,964.2,875.5,818.0,1469.8,1173.0,6.9
14.9,82.7,1.3735,835.0,721.9,1031.7,1298.9,724.1,3.4
26.8,25.1,0.8821,1382.4,1486.3,666.8,2150.7,1609.9,27.0
7.9,80.6,0.8544,975.7,717.9,1310.4,1452.2,629.2,3.7
18.8,28.1,0.5446,944.6,829.5,1074.4,1280.7,548.0,5.3
15.0,48.4,0.8817,1286.0,1135.9,751.8,1730.0,975.8,16.2
17.0,41.9,0.8558,1472.9,1069.5,739.2,1692.5,1623.4,14.4
9.8,77.9,0.9458,1054.7,856.5,1048.6,1390.3,664.4,6.1
27.8,48.9,1.9398,1119.2,878.8,641.1,1822.8,816.8,9.5
32.7,17.2,0.8683,814.8,671.0,1264.8,1092.0,351.4,2.5
18.9,48.8,1.1144,818.3,641.7,1112.0,1269.6,602.4,3.7
9.3,54.5,0.7035,1054.7,709.6,1158.7,1326.7,852.2,5.0
19.5,61.2,1.472,1092.0,869.4,762.0,1380.3,944.8,6.5
29.1,23.0,0.8613,1007.8,991.7,1014.3,1478.7,870.4,12.0
18.1,43.9,0.9324,1174.1,983.6,726.3,1699.3,1255.6,11.1
25.9,34.2,0.2262,1050.7,393.4,1898.1,597.7,622.2,0.1
18.0,62.0,1.1645,1385.0,1050.2,795.6,1645.2,1222.0,12.4
40.3,14.9,1.1604,1070.0,1030.0,817.0,1476.5,966.3,11.0
13.0,72.2,1.0957,1514.0,1231.1,718.1,1438.2,1862.2,17.2
11.2,72.9,0.9386,1601.5,1147.6,481.0,1422.2,1898.8,17.1
23.8,57.0,1.6711,1295.9,1349.5,510.0,2077.0,1278.4,22.0
13.9,22.9,0.4054,920.3,974.4,809.5,946.7,974.7,8.9
11.8,72.6,0.9846,1077.4,678.2,951.4,1097.9,745.0,3.4
13.9,54.7,0.9164,1226.6,837.1,1024.4,1639.8,1200.0,6.9
12.1,55.9,0.8142,1862.2,1923.5,310.6,2361.8,2523.0,47.8
19.1,69.7,1.5461,1371.8,1323.9,526.3,1697.6,1415.1,19.7
24.3,32.4,0.2256,1038.9,413.1,1910.6,571.5,751.8,0.1
14.7,62.6,1.0904,1087.2,982.9,645.0,1423.1,1126.0,10.8
36.3,15.5,0.9727,975.4,850.6,835.7,1449.2,651.7,7.1
24.5,22.4,0.7023,961.8,829.0,1169.0,1373.0,583.7,6.7
24.3,44.5,1.365,1139.8,893.4,665.9,1595.4,988.0,8.8
5.5,70.6,0.6247,827.9,599.8,1109.8,917.0,747.8,2.9
36.0,19.8,1.3223,1261.5,1294.4,555.7,1956.5,1530.2,22.1
34.0,26.2,1.3921,1151.4,1165.6,678.8,1873.1,1174.2,16.5
14.8,82.0,1.3428,1263.9,1324.1,538.6,1934.3,1311.0,20.5
14.1,58.6,0.8743,1462.0,1235.5,677.1,2116.6,1537.1,19.3
20.7,40.7,0.9515,792.1,581.8,1089.0,1366.6,597.8,2.1
21.2,50.5,1.3125,809.0,776.2,1073.1,1464.3,735.3,6.5
21.5,47.0,1.2678,1027.0,895.7,765.7,1421.0,1029.0,8.4
12.1,72.7,1.0856,918.7,727.0,1872.1,1174.0,761.4,3.9
25.9,46.9,1.5422,1307.2,1440.5,503.5,1958.0,1478.0,22.5
34.3,42.6,2.0995,1120.0,937.9,673.2,1855.4,1063.1,9.9
19.5,38.7,0.9155,1350.4,1229.3,639.6,1626.9,2370.2,19.5
21.9,42.9,1.1558,758.3,579.0,1197.9,1306.0,514.1,2.3
24.3,13.5,0.4222,825.6,874.7,1073.8,1224.1,613.9,7.6
27.9,40.6,1.5147,1239.8,1155.3,545.0,1791.4,1327.0,15.1
24.7,29.4,0.976,865.2,878.6,1036.8,1463.7,686.0,6.6
22.6,60.3,1.5799,1077.4,928.0,868.3,1840.6,863.6,8.1
10.1,79.2,0.9488,1656.9,1464.1,421.1,1816.9,1746.0,26.5
12.2,53.6,0.7643,1090.0,1062.8,741.2,1558.9,1186.0,11.3
13.9,26.3,0.4023,854.0,604.8,1503.1,1029.0,437.8,2.8
15.9,48.8,0.8886,1115.5,904.9,810.5,1542.3,1188.0,9.9
23.6,40.8,1.3248,832.0,584.2,1074.6,1354.1,577.2,2.4
33.3,23.3,1.4017,983.3,932.2,884.0,1590.0,774.2,9.1
14.3,56.5,0.9722,817.8,511.5,1159.8,1131.9,479.0,1.7
24.7,31.5,1.1065,921.8,721.0,875.1,1448.4,945.6,5.3
29.6,37.2,1.587,1080.1,1188.6,667.4,1839.2,1233.0,14.9
10.6,60.5,0.7624,844.0,558.6,1409.1,1176.0,368.5,1.2
13.1,51.9,0.8209,1078.4,841.4,1005.3,1398.7,769.6,6.1
20.3,57.2,1.3994,868.3,716.0,961.3,1558.6,805.4,3.6
26.8,30.4,1.0209,1286.3,1118.7,788.0,1735.7,1368.5,14.1
15.7,56.4,1.0309,777.1,563.6,1215.8,1152.0,621.2,1.9
22.8,42.6,1.3061,805.8,578.2,1065.9,1244.4,473.3,2.0
23.2,26.7,0.7519,1461.5,1173.2,867.6,1778.0,1270.1,17.4
15.6,29.3,0.5683,968.6,952.6,974.4,1391.0,782.3,7.9
17.5,64.5,1.226,1301.9,1253.4,586.8,2028.5,1210.8,18.6
22.8,52.8,1.367,953.4,936.0,849.4,1518.0,838.3,8.2
22.5,37.7,1.1491,825.6,631.6,1206.8,1176.6,597.7,3.0
21.6,39.5,1.0086,1999.2,1754.0,547.4,2652.2,1973.5,41.6
